target,eventivity,SubjectRel,Whose,TaskType,TaskPredicateRel,TaskObjectRel,Task1,Task2,Spillover,Answer
ambush,Ev,Tran,Samir,Sentence,None,None,ambushes are easy to see coming,,,1
arrest,Ev,Tran,Samir,Sentence,None,None,arrests go on one's record,,,2
assault,Ev,Tran,Samir,Sentence,None,None,assaults are crimes,,,2
auction,Ev,Tran,Samir,Sentence,None,None,auctions are a way to raise money,,,2
audit,Ev,Tran,Samir,Sentence,None,None,audits are tryouts,,,1
boycott,Ev,Tran,Samir,Sentence,None,None,boycotts are methods of protest,,,2
brawl,Ev,Intr,Samir,Sentence,None,None,brawls in bars are safe for children,,,1
bribe,Ev,Tran,Samir,Sentence,None,None,bribes can be efficient solutions,,,2
clash,Ev,Intr,Samir,Sentence,None,None,clashes between militaries can start a war,,,2
collapse,Ev,Intr,Samir,Sentence,None,None,collapses of economies are disastrous,,,2
dance,Ev,Intr,Samir,Sentence,None,None,dances are patterns of movements,,,2
disgrace,Ev,Tran,Samir,Sentence,None,None,disgraces are something to brag about,,,1
divorce,Ev,Tran,Samir,Sentence,None,None,divorces always cause joy,,,1
dream,Ev,Intr,Samir,Sentence,None,None,dreams happen in real life,,,1
eclipse,Ev,Tran,Samir,Sentence,None,None,eclipses are astronomical events,,,2
experiment,Ev,Intr,Samir,Sentence,None,None,experiments are always successful,,,1
fall,Ev,Intr,Samir,Sentence,None,None,falls are likely on icy ground,,,2
feast,Ev,Intr,Samir,Sentence,None,None,feasts have very little food,,,1
fuss,Ev,Intr,Samir,Sentence,None,None,fusses often involves complaining,,,2
insult,Ev,Tran,Samir,Sentence,None,None,insults are the same as compliments,,,1
journey,Ev,Intr,Samir,Sentence,None,None,journies can take years,,,2
march,Ev,Intr,Samir,Sentence,None,None,marches are unorganized walking,,,1
massacre,Ev,Tran,Samir,Sentence,None,None,massacres are peaceful affairs,,,1
massage,Ev,Tran,Samir,Sentence,None,None,massages are painful,,,1
motion,Ev,Intr,Samir,Sentence,None,None,motions involve standing totally still,,,1
murder,Ev,Tran,Samir,Sentence,None,None,murders will always be solved quickly,,,1
mutiny,Ev,Intr,Samir,Sentence,None,None,mutinies occur against authority,,,2
overdose,Ev,Intr,Samir,Sentence,None,None,overdoses are never lethal,,,1
punch,Ev,Tran,Samir,Sentence,None,None,punches to the face hurt,,,2
quarantine,Ev,Tran,Samir,Sentence,None,None,quarantines require isolation,,,2
raid,Ev,Tran,Samir,Sentence,None,None,raids are highly predictable,,,1
rant,Ev,Intr,Samir,Sentence,None,None,rants are happy speeches,,,1
remark,Ev,Intr,Samir,Sentence,None,None,remarks can be written or spoken,,,2
rendezvous,Ev,Intr,Samir,Sentence,None,None,rendezvous are meetings,,,2
rescue,Ev,Tran,Samir,Sentence,None,None,rescues are exciting to watch,,,2
rest,Ev,Intr,Samir,Sentence,None,None,rests feel great after a long day of work,,,2
retreat,Ev,Intr,Samir,Sentence,None,None,retreats signify the end of a battle,,,2
revolt,Ev,Intr,Samir,Sentence,None,None,revolts reflect well on those in power,,,1
riot,Ev,Intr,Samir,Sentence,None,None,riots result in property damage,,,2
scrape,Ev,Tran,Samir,Sentence,None,None,srapes are major medical emergencies,,,1
scuffle,Ev,Intr,Samir,Sentence,None,None,scuffles are fights at close range,,,2
serenade,Ev,Tran,Samir,Sentence,None,None,serenades are musical,,,2
shock,Ev,Tran,Samir,Sentence,None,None,shocks are always pleasant,,,2
skirmish,Ev,Intr,Samir,Sentence,None,None,skirmishes are friendly conversation,,,1
slaughter,Ev,Tran,Samir,Sentence,None,None,slaughters are clean events,,,1
sprint,Ev,Intr,Samir,Sentence,None,None,sprints are longer than endurance races,,,1
squeal,Ev,Intr,Samir,Sentence,None,None,squeals are low-pitched noises,,,1
stampede,Ev,Intr,Samir,Sentence,None,None,stampedes can be extremely dangerous,,,2
surge,Ev,Intr,Samir,Sentence,None,None,surges are a sudden decreases,,,1
surprise,Ev,Tran,Samir,Sentence,None,None,surprises are unexpected,,,2
thrill,Ev,Tran,Samir,Sentence,None,None,thrills are boring experiences,,,1
trend,Ev,Intr,Samir,Sentence,None,None,trends never go out of style,,,1
trick,Ev,Tran,Samir,Sentence,None,None,a*trick*to*eating*less*is*shopping*while*hungry,,,1
triumph,Ev,Intr,Samir,Sentence,None,None,triumphs are causes for celebration,,,2
veto,Ev,Tran,Samir,Sentence,None,None,vetos are approvals,,,1
vote,Ev,Intr,Samir,Sentence,None,None,votes are a statement of fact,,,1
waltz,Ev,Intr,Samir,Sentence,None,None,waltzes often danced at wild parties,,,1
wound,Ev,Tran,Samir,Sentence,None,None,wounds should be properly cleaned,,,2
wreck,Ev,Tran,Samir,Sentence,None,None,wrecks are the result of a crash,,,2
ambush,Ev,Tran,Samir,Word,None,None,,,,1
arrest,Ev,Tran,Samir,Word,None,None,,,,1
