target,Categories,Nfreq,Vfreq,freq,NVratio,Vditrans,Vtrans,Vintrans,Nmorph,MorphStatus,rel_type
ancestor,['noun'],492,0,492,493.0,False,False,False,0,obscure,rel
foe,['noun'],259,0,259,260.0,False,False,False,1,monomorphemic,rel
daughter,['noun'],2305,0,2305,2306.0,False,False,False,0,may_include_a_root,rel
sister,['noun'],2039,0,2039,2040.0,False,False,False,0,may_include_a_root,rel
brother,['noun'],2478,0,2478,2479.0,False,False,False,0,may_include_a_root,rel
father,['noun'],5386,17,5403,299.2777778,False,True,False,0,may_include_a_root,rel
mother,['noun'],8506,50,8556,166.8039216,False,True,False,0,may_include_a_root,rel
son,['noun'],3689,0,3689,3690.0,False,False,False,1,monomorphemic,rel
uncle,['noun'],1188,0,1188,1189.0,False,False,False,1,monomorphemic,rel
aunt,['noun'],608,0,608,609.0,False,False,False,1,monomorphemic,rel
boss,['noun'],481,46,527,10.25531915,False,True,True,1,monomorphemic,rel
colleague,['noun'],913,0,913,914.0,False,False,False,0,may_include_a_root,rel
cousin,['noun'],575,0,575,576.0,False,False,False,1,monomorphemic,rel
niece,['noun'],95,0,95,96.0,False,False,False,1,monomorphemic,rel
widow,['noun'],367,0,367,368.0,False,False,False,1,monomorphemic,rel
nephew,['noun'],161,0,161,162.0,False,False,False,1,monomorphemic,rel
friend,['noun'],6386,0,6386,6387.0,False,False,False,1,monomorphemic,rel
parent,['noun'],5679,0,5679,5680.0,False,False,False,1,monomorphemic,rel
address,['noun'],876,631,1507,1.387658228,False,True,False,1,zero_derivation,rel
client,['noun'],455,0,455,456.0,False,False,False,1,monomorphemic,rel
enemy,['noun'],1443,0,1443,1444.0,False,False,False,0,may_include_a_root,rel
height,['noun'],835,0,835,836.0,False,False,False,1,monomorphemic,rel
age,['noun'],5206,151,5357,34.25657895,False,True,True,1,monomorphemic,rel
husband,['noun'],2762,14,2776,184.2,False,True,False,1,monomorphemic,rel
wife,['noun'],4442,0,4442,4443.0,False,False,False,1,monomorphemic,rel
location,['noun'],412,0,412,413.0,False,False,False,1,complex,rel
partner,['noun'],733,19,752,36.7,False,True,False,0,may_include_a_root,rel
sibling,['noun'],38,0,38,39.0,False,False,False,1,complex,rel
spouse,['noun'],72,0,72,73.0,False,False,False,1,monomorphemic,rel
speed,['noun'],1438,298,1736,4.81270903,False,False,True,1,zero_derivation,rel
weight,['noun'],1803,43,1846,41.0,False,True,False,1,monomorphemic,rel
student,['noun'],5453,0,5453,5454.0,False,False,False,1,complex,rel
value,['noun'],3097,190,3287,16.21989529,False,True,False,1,monomorphemic,rel
distance,['noun'],1841,15,1856,115.125,False,True,False,1,complex,rel
price,['noun'],2875,102,2977,27.9223301,False,True,False,1,monomorphemic,rel
audience,['noun'],1355,0,1355,1356.0,False,False,False,0,obscure,rel
